anio;nivel_agregacion;unidad_territorial;monto_inversion;cant_investigadores;cant_articulos;inversion_investigador;articulos_investigador
2023;Provincia;Santa Cruz;4204.3;240;107;17.5;0.45
2023;Provincia;Santa Fe;87765.2;3215;1947;27.3;0.61
2023;Provincia;Santiago del Estero;3680.4;331;179;11.1;0.54
2023;Provincia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;4855.5;168;174;28.9;1.04
2023;Provincia;Tucumán;28571.1;1450;589;19.7;0.41
2023;Región;Centro;190791.6;7534;4419;25.3;0.59
2023;Región;Cuyo;52262.5;2855;1467;18.3;0.51
2023;Región;Metropolitana;755320.0;17664;12178;42.8;0.69
2023;Región;NEA;29677.0;1712;1018;17.3;0.59
2023;Región;NOA;59839.5;3451;1388;17.3;0.40
2023;Región;Patagonia;62671.6;2778;1796;22.6;0.65
