anio;nivel_agregacion;unidad_territorial;tipo_institucion_ract;monto_inversion;monto_inversion_constante_2004
2020;Provincia;Tucumán;ESFL;0.00;0.00
2020;Provincia;Buenos Aires;UPUB;9269.30;212.80
2020;Provincia;Catamarca;UPUB;150.40;3.50
2020;Provincia;Chaco;UPUB;368.80;8.50
2020;Provincia;Chubut;UPUB;233.70;5.40
2020;Provincia;C.A.B.A.;UPUB;8388.10;192.50
2020;Provincia;Córdoba;UPUB;2226.90;51.10
2020;Provincia;Corrientes;UPUB;308.40;7.10
2020;Provincia;Entre Ríos;UPUB;434.10;10.00
2020;Provincia;Formosa;UPUB;174.90;4.00
2020;Provincia;Jujuy;UPUB;726.50;16.70
2020;Provincia;La Pampa;UPUB;249.10;5.70
2020;Provincia;La Rioja;UPUB;379.90;8.70
2020;Provincia;Mendoza;UPUB;778.60;17.90
2020;Provincia;Misiones;UPUB;556.10;12.80
2020;Provincia;Neuquén;UPUB;362.30;8.30
2020;Provincia;Río Negro;UPUB;703.40;16.10
2020;Provincia;Salta;UPUB;261.90;6.00
2020;Provincia;San Juan;UPUB;99.10;2.30
2020;Provincia;San Luis;UPUB;1164.10;26.70
2020;Provincia;Santa Cruz;UPUB;346.40;8.00
2020;Provincia;Santa Fe;UPUB;3262.90;74.90
2020;Provincia;Santiago del Estero;UPUB;352.10;8.10
2020;Provincia;Tierra del Fuego. Antártida e Islas del Atlántico Sur;UPUB;138.80;3.20
2020;Provincia;Tucumán;UPUB;1027.90;23.60
2020;Provincia;Buenos Aires;UPRI;369.50;8.50
2020;Provincia;Catamarca;UPRI;0.00;0.00
2020;Provincia;Chaco;UPRI;1.30;0.00
2020;Provincia;Chubut;UPRI;0.70;0.00
2020;Provincia;C.A.B.A.;UPRI;1026.20;23.60
2020;Provincia;Córdoba;UPRI;120.10;2.80
2020;Provincia;Corrientes;UPRI;41.10;0.90
2020;Provincia;Entre Ríos;UPRI;34.10;0.80
2020;Provincia;Formosa;UPRI;1.70;0.00
2020;Provincia;Jujuy;UPRI;0.00;0.00
2020;Provincia;La Pampa;UPRI;0.00;0.00
2020;Provincia;La Rioja;UPRI;1.80;0.00
2020;Provincia;Mendoza;UPRI;97.80;2.20
2020;Provincia;Misiones;UPRI;39.30;0.90
2020;Provincia;Neuquén;UPRI;0.00;0.00
