anio;nivel_agregacion;unidad_territorial;tipo_personal_sicytar;es_conicet;sexo_descripcion;gran_area_experticia;cant_personas
2019;Provincia;Catamarca;BECARIO DE I+D;1;FEMENINO;CIENCIAS SOCIALES;9
2019;Provincia;Catamarca;BECARIO DE I+D;1;FEMENINO;HUMANIDADES;6
2019;Provincia;Catamarca;BECARIO DE I+D;1;MASCULINO;CIENCIAS AGRÍCOLAS;3
2019;Provincia;Catamarca;BECARIO DE I+D;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;7
2019;Provincia;Catamarca;BECARIO DE I+D;1;MASCULINO;CIENCIAS SOCIALES;5
2019;Provincia;Catamarca;BECARIO DE I+D;1;MASCULINO;HUMANIDADES;6
2019;Provincia;Catamarca;BECARIO DE I+D;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;2
2019;Provincia;Catamarca;DOCENTE;0;FEMENINO;CIENCIAS AGRÍCOLAS;17
2019;Provincia;Catamarca;DOCENTE;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;28
2019;Provincia;Catamarca;DOCENTE;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;66
2019;Provincia;Catamarca;DOCENTE;0;FEMENINO;CIENCIAS SOCIALES;88
2019;Provincia;Catamarca;DOCENTE;0;FEMENINO;HUMANIDADES;46
2019;Provincia;Catamarca;DOCENTE;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;18
2019;Provincia;Catamarca;DOCENTE;0;MASCULINO;CIENCIAS AGRÍCOLAS;19
2019;Provincia;Catamarca;DOCENTE;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;15
2019;Provincia;Catamarca;DOCENTE;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;48
2019;Provincia;Catamarca;DOCENTE;0;MASCULINO;CIENCIAS SOCIALES;64
2019;Provincia;Catamarca;DOCENTE;0;MASCULINO;HUMANIDADES;20
2019;Provincia;Catamarca;DOCENTE;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;40
2019;Provincia;Catamarca;INVESTIGADOR;0;FEMENINO;CIENCIAS AGRÍCOLAS;15
2019;Provincia;Catamarca;INVESTIGADOR;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;22
2019;Provincia;Catamarca;INVESTIGADOR;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;76
2019;Provincia;Catamarca;INVESTIGADOR;0;FEMENINO;CIENCIAS SOCIALES;70
2019;Provincia;Catamarca;INVESTIGADOR;0;FEMENINO;HUMANIDADES;47
2019;Provincia;Catamarca;INVESTIGADOR;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;22
2019;Provincia;Catamarca;INVESTIGADOR;0;MASCULINO;CIENCIAS AGRÍCOLAS;17
2019;Provincia;Catamarca;INVESTIGADOR;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;5
2019;Provincia;Catamarca;INVESTIGADOR;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;50
2019;Provincia;Catamarca;INVESTIGADOR;0;MASCULINO;CIENCIAS SOCIALES;34
2019;Provincia;Catamarca;INVESTIGADOR;0;MASCULINO;HUMANIDADES;30
2019;Provincia;Catamarca;INVESTIGADOR;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;28
2019;Provincia;Catamarca;INVESTIGADOR;1;FEMENINO;CIENCIAS AGRÍCOLAS;1
2019;Provincia;Catamarca;INVESTIGADOR;1;FEMENINO;CIENCIAS NATURALES Y EXACTAS;5
2019;Provincia;Catamarca;INVESTIGADOR;1;FEMENINO;CIENCIAS SOCIALES;2
2019;Provincia;Catamarca;INVESTIGADOR;1;MASCULINO;CIENCIAS NATURALES Y EXACTAS;4
2019;Provincia;Catamarca;INVESTIGADOR;1;MASCULINO;CIENCIAS SOCIALES;4
2019;Provincia;Catamarca;INVESTIGADOR;1;MASCULINO;HUMANIDADES;6
2019;Provincia;Catamarca;INVESTIGADOR;1;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;2
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS AGRÍCOLAS;13
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS MÉDICAS Y DE LA SALUD;11
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;42
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;CIENCIAS SOCIALES;44
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;HUMANIDADES;44
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;FEMENINO;INGENIERÍAS Y TECNOLOGÍAS;10
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS AGRÍCOLAS;18
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS MÉDICAS Y DE LA SALUD;6
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS NATURALES Y EXACTAS;43
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;CIENCIAS SOCIALES;14
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;HUMANIDADES;13
2019;Provincia;Catamarca;OTRO PERSONAL DE LA INSTITUCION;0;MASCULINO;INGENIERÍAS Y TECNOLOGÍAS;10
2019;Provincia;Chaco;BECARIO DE I+D;0;FEMENINO;CIENCIAS NATURALES Y EXACTAS;4
2019;Provincia;Chaco;BECARIO DE I+D;0;FEMENINO;CIENCIAS SOCIALES;15
